date,cpi_index
2013-03-01,105.5
2013-04-01,106.1
2013-05-01,106.9
2013-06-01,109.3
2013-07-01,111.0
2013-08-01,112.4
2013-09-01,113.7
2013-10-01,114.8
2013-11-01,116.3
2013-12-01,114.5
2014-03-01,114.2
2014-04-01,115.1
2014-05-01,115.8
2014-06-01,116.7
2014-07-01,119.2
2014-08-01,120.3
2014-09-01,120.1
2014-10-01,120.1
2014-11-01,120.1
2014-12-01,119.4
2015-03-01,120.2
2015-04-01,120.7
2015-05-01,121.6
2015-06-01,123.0
2015-07-01,123.6
2015-08-01,124.8
2015-09-01,125.4
2015-10-01,126.1
2015-11-01,126.6
2015-12-01,126.1
2016-03-01,126.0
2016-04-01,127.3
2016-05-01,128.6
2016-06-01,130.1
2016-07-01,131.1
2016-08-01,131.1
2016-09-01,130.9
2016-10-01,131.4
2016-11-01,131.2
2016-12-01,130.4
2017-03-01,130.9
2017-04-01,131.1
2017-05-01,131.4
2017-06-01,132.0
2017-07-01,134.2
2017-08-01,135.4
2017-09-01,135.2
2017-10-01,136.1
2017-11-01,137.6
2017-12-01,137.2
2018-03-01,136.5
2018-04-01,137.1
2018-05-01,137.8
2018-06-01,138.5
2018-07-01,139.8
2018-08-01,140.4
2018-09-01,140.2
2018-10-01,140.7
2018-11-01,140.8
2018-12-01,140.1
2019-03-01,140.4
2019-04-01,141.2
2019-05-01,142.0
2019-06-01,142.9
2019-07-01,144.2
2019-08-01,145.0
2019-09-01,145.8
2019-10-01,147.2
2019-11-01,148.6
2019-12-01,150.4
2020-03-01,148.6
2020-04-01,151.4
2020-05-01,150.9
2020-06-01,151.8
2020-07-01,153.9
2020-08-01,154.7
2020-09-01,156.4
2020-10-01,158.4
2020-11-01,158.9
2020-12-01,157.3
2021-03-01,156.8
2021-04-01,157.8
2021-05-01,160.4
2021-06-01,161.3
2021-07-01,162.5
2021-08-01,162.9
2021-09-01,163.2
2021-10-01,165.5
2021-11-01,166.7
2021-12-01,166.2
2022-03-01,167.7
2022-04-01,170.1
2022-05-01,171.7
2022-06-01,172.6
2022-07-01,173.4
2022-08-01,174.3
2022-09-01,175.3
2022-10-01,176.7
2022-11-01,176.5
2022-12-01,175.7
2023-03-01,177.2
2023-04-01,178.1
2023-05-01,179.1
2023-06-01,181.0
2023-07-01,186.3
2023-08-01,186.2
2023-09-01,184.1
2023-10-01,185.3
2023-11-01,186.3
2023-12-01,185.7
2024-03-01,185.8
2024-04-01,186.7
2024-05-01,187.7
2024-06-01,190.2
2024-07-01,193.0
2024-08-01,193.0
2024-09-01,194.2
2024-10-01,196.8
2024-11-01,196.5
2024-12-01,195.4
2025-03-01,101.39
2025-04-01,101.58
2025-05-01,101.9
2025-06-01,102.51
2025-07-01,103.35
2025-08-01,103.74
2025-09-01,103.74
2025-10-01,103.74
2025-11-01,104.01
2025-12-01,104.1
2026-01-01,104.45
2026-02-01,104.57
2026-03-01,104.84
2026-04-01,105.12
2026-05-01,105.91
2026-06-01,107.0
