base_year,series,year,indicator,frequency,revision,industry,subindustry,institutional_sector,quarter,current_price,constant_price,unit
2022-23,Current,2022-23,Gross Value Added,Annual,Final Estimates,,,Public Non-Financial Corporations,,1258784,,₹ Crore
2022-23,Current,2022-23,Gross Value Added,Annual,Final Estimates,,,Private Non-Financial Corporations,,8046653,,₹ Crore
2022-23,Current,2022-23,Gross Value Added,Annual,Final Estimates,,,Public Financial Corporations,,645812,,₹ Crore
2022-23,Current,2022-23,Gross Value Added,Annual,Final Estimates,,,Private Financial Corporations,,831882,,₹ Crore
2022-23,Current,2022-23,Gross Value Added,Annual,Final Estimates,,,General Government,,2285646,,₹ Crore
2022-23,Current,2022-23,Gross Value Added,Annual,Final Estimates,,,Households Including NPISH,,10694985,,₹ Crore
2022-23,Current,2022-23,Gross Value Added,Annual,Final Estimates,,,Total Gross Value Added,,23763761,,₹ Crore
2022-23,Current,2022-23,Gross Value Added,Annual,Final Estimates,"Agriculture, Livestock, Forestry and Fishing",Crops,,,2940912,2940912,₹ Crore
2022-23,Current,2022-23,Gross Value Added,Annual,Final Estimates,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,1181860,1181860,₹ Crore
2022-23,Current,2022-23,Gross Value Added,Annual,Final Estimates,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,389062,389062,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,,,Public Non-Financial Corporations,,1530262,,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,,,Private Non-Financial Corporations,,8593551,,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,,,Public Financial Corporations,,714052,,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,,,Private Financial Corporations,,944003,,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,,,General Government,,2455781,,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,,,Households Including NPISH,,12078453,,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,,,Total Gross Value Added,,26316103,,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Agriculture, Livestock, Forestry and Fishing",Crops,,,3197007,3014741,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,1270858,1216107,₹ Crore
2022-23,Current,2023-24,Gross Value Added,Annual,Final Estimates,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,380497,393690,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,,,Public Non-Financial Corporations,,1551904,,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,,,Private Non-Financial Corporations,,9555601,,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,,,Public Financial Corporations,,780342,,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,,,Private Financial Corporations,,1059339,,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,,,General Government,,2656800,,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,,,Households Including NPISH,,13250480,,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,,,Total Gross Value Added,,28854467,,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Crops,,,3487515,3113281,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,1387063,1278634,₹ Crore
2022-23,Current,2024-25,Gross Value Added,Annual,First Revised Estimates,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,408682,414488,₹ Crore
