base_year,year,month,type,category,sub_category,index,growth_rate
2011-12,2012,April,General,General,,99.3,-0.7
2011-12,2012,May,General,General,,105.0,5.0
2011-12,2012,June,General,General,,102.3,2.3
2011-12,2012,July,General,General,,101.5,1.5
2011-12,2012,August,General,General,,99.9,-0.1
2011-12,2012,September,General,General,,99.0,-1.0
2011-12,2012,October,General,General,,103.7,3.7
2011-12,2012,November,General,General,,98.3,-1.7
2011-12,2012,December,General,General,,107.1,7.1
2011-12,2013,January,General,General,,107.2,7.2
2011-12,2013,February,General,General,,101.4,1.4
2011-12,2013,March,General,General,,115.2,15.2
2011-12,2013,April,General,General,,102.6,3.3
2011-12,2013,May,General,General,,106.0,1.0
2011-12,2013,June,General,General,,101.3,-1.0
2011-12,2013,July,General,General,,104.7,3.2
2011-12,2013,August,General,General,,104.3,4.4
2011-12,2013,September,General,General,,105.7,6.8
2011-12,2013,October,General,General,,105.7,1.9
2011-12,2013,November,General,General,,101.9,3.7
2011-12,2013,December,General,General,,110.9,3.5
2011-12,2014,January,General,General,,112.3,4.8
2011-12,2014,February,General,General,,106.7,5.2
2011-12,2014,March,General,General,,118.5,2.9
2011-12,2014,April,General,General,,106.6,3.9
2011-12,2014,May,General,General,,111.0,4.7
2011-12,2014,June,General,General,,109.7,8.3
2011-12,2014,July,General,General,,110.4,5.4
2011-12,2014,August,General,General,,108.0,3.5
2011-12,2014,September,General,General,,110.2,4.3
2011-12,2014,October,General,General,,106.0,0.3
2011-12,2014,November,General,General,,109.4,7.4
2011-12,2014,December,General,General,,115.3,4.0
2011-12,2015,January,General,General,,114.3,1.8
2011-12,2015,February,General,General,,109.9,3.0
2011-12,2015,March,General,General,,121.3,2.4
2011-12,2015,April,General,General,,107.3,0.7
2011-12,2015,May,General,General,,113.0,1.8
2011-12,2015,June,General,General,,110.8,1.0
2011-12,2015,July,General,General,,111.8,1.3
2011-12,2015,August,General,General,,112.0,3.7
2011-12,2015,September,General,General,,112.6,2.2
2011-12,2015,October,General,General,,115.5,9.0
2011-12,2015,November,General,General,,110.3,0.8
2011-12,2015,December,General,General,,118.9,3.1
2011-12,2016,January,General,General,,118.9,4.0
2011-12,2016,February,General,General,,117.8,7.2
2011-12,2016,March,General,General,,127.6,5.2
2011-12,2016,April,General,General,,113.7,6.0
2011-12,2016,May,General,General,,121.3,7.3
2011-12,2016,June,General,General,,119.7,8.0
2011-12,2016,July,General,General,,116.8,4.5
2011-12,2016,August,General,General,,116.5,4.0
2011-12,2016,September,General,General,,118.2,5.0
2011-12,2016,October,General,General,,120.3,4.2
2011-12,2016,November,General,General,,115.9,5.1
2011-12,2016,December,General,General,,121.7,2.4
2011-12,2017,January,General,General,,123.1,3.5
2011-12,2017,February,General,General,,119.2,1.2
2011-12,2017,March,General,General,,133.2,4.4
2011-12,2017,April,General,General,,117.3,3.2
2011-12,2017,May,General,General,,124.8,2.9
2011-12,2017,June,General,General,,119.3,-0.3
2011-12,2017,July,General,General,,118.0,1.0
2011-12,2017,August,General,General,,122.1,4.8
2011-12,2017,September,General,General,,123.1,4.1
2011-12,2017,October,General,General,,122.5,1.8
2011-12,2017,November,General,General,,125.8,8.5
2011-12,2017,December,General,General,,130.6,7.3
2011-12,2018,January,General,General,,132.3,7.5
2011-12,2018,February,General,General,,127.4,6.9
2011-12,2018,March,General,General,,140.3,5.3
2011-12,2018,April,General,General,,122.6,4.5
2011-12,2018,May,General,General,,129.6,3.8
2011-12,2018,June,General,General,,127.7,7.0
2011-12,2018,July,General,General,,125.7,6.5
2011-12,2018,August,General,General,,128.0,4.8
2011-12,2018,September,General,General,,128.8,4.6
2011-12,2018,October,General,General,,132.8,8.4
2011-12,2018,November,General,General,,126.1,0.2
2011-12,2018,December,General,General,,133.9,2.5
2011-12,2019,January,General,General,,134.4,1.6
2011-12,2019,February,General,General,,127.6,0.2
2011-12,2019,March,General,General,,144.1,2.7
2011-12,2019,April,General,General,,126.5,3.2
2011-12,2019,May,General,General,,135.4,4.5
2011-12,2019,June,General,General,,129.3,1.3
2011-12,2019,July,General,General,,131.8,4.9
2011-12,2019,August,General,General,,126.2,-1.4
2011-12,2019,September,General,General,,122.9,-4.6
2011-12,2019,October,General,General,,124.0,-6.6
2011-12,2019,November,General,General,,128.8,2.1
2011-12,2019,December,General,General,,134.5,0.4
2011-12,2020,January,General,General,,137.4,2.2
2011-12,2020,February,General,General,,134.2,5.2
2011-12,2020,March,General,General,,117.2,-18.7
2011-12,2020,April,General,General,,54.0,-57.3
2011-12,2020,May,General,General,,90.2,-33.4
2011-12,2020,June,General,General,,107.9,-16.6
2011-12,2020,July,General,General,,117.9,-10.5
2011-12,2020,August,General,General,,117.2,-7.1
2011-12,2020,September,General,General,,124.1,1.0
2011-12,2020,October,General,General,,129.6,4.5
2011-12,2020,November,General,General,,126.7,-1.6
2011-12,2020,December,General,General,,137.4,2.2
2011-12,2021,January,General,General,,136.6,-0.6
2011-12,2021,February,General,General,,129.9,-3.2
2011-12,2021,March,General,General,,145.6,24.2
2011-12,2021,April,General,General,,126.1,
2011-12,2021,May,General,General,,115.1,27.6
2011-12,2021,June,General,General,,122.8,13.8
2011-12,2021,July,General,General,,131.5,11.5
2011-12,2021,August,General,General,,132.4,13.0
2011-12,2021,September,General,General,,129.5,4.4
2011-12,2021,October,General,General,,135.0,4.2
2011-12,2021,November,General,General,,128.0,1.0
2011-12,2021,December,General,General,,138.8,1.0
2011-12,2022,January,General,General,,139.3,2.0
2011-12,2022,February,General,General,,131.4,1.2
2011-12,2022,March,General,General,,148.8,2.2
2011-12,2022,April,General,General,,134.5,6.7
2011-12,2022,May,General,General,,137.8,19.7
2011-12,2022,June,General,General,,138.3,12.6
2011-12,2022,July,General,General,,134.4,2.2
2011-12,2022,August,General,General,,131.5,-0.7
2011-12,2022,September,General,General,,133.8,3.3
2011-12,2022,October,General,General,,129.5,-4.1
2011-12,2022,November,General,General,,137.7,7.6
2011-12,2022,December,General,General,,145.9,5.1
2011-12,2023,January,General,General,,147.4,5.8
2011-12,2023,February,General,General,,139.3,6.0
2011-12,2023,March,General,General,,151.7,1.9
2011-12,2023,April,General,General,,140.7,4.6
2011-12,2023,May,General,General,,145.6,5.7
2011-12,2023,June,General,General,,143.9,4.0
2011-12,2023,July,General,General,,142.7,6.2
2011-12,2023,August,General,General,,145.8,10.9
2011-12,2023,September,General,General,,142.3,6.4
2011-12,2023,October,General,General,,144.9,11.9
2011-12,2023,November,General,General,,141.1,2.5
2011-12,2023,December,General,General,,152.3,4.4
2011-12,2024,January,General,General,,153.6,4.2
2011-12,2024,February,General,General,,147.1,5.6
2011-12,2024,March,General,General,,160.0,5.5
2011-12,2024,April,General,General,,148.0,5.2
2011-12,2024,May,General,General,,154.7,6.3
2011-12,2024,June,General,General,,151.0,4.9
2011-12,2024,July,General,General,,149.8,5.0
2011-12,2024,August,General,General,,145.8,0.0
2011-12,2024,September,General,General,,146.9,3.2
2011-12,2024,October,General,General,,150.3,3.7
2011-12,2024,November,General,General,,148.1,5.0
2011-12,2024,December,General,General,,158.0,3.7
2011-12,2025,January,General,General,,161.6,5.2
2011-12,2025,February,General,General,,151.1,2.7
2011-12,2025,April,General,General,,151.8,2.6
2011-12,2025,May,General,General,,157.6,1.9
2011-12,2025,June,General,General,,153.3,1.5
2011-12,2025,July,General,General,,156.2,4.3
2011-12,2025,August,General,General,,151.7,4.0
2011-12,2025,September,General,General,,153.7,4.6
2011-12,2025,October,General,General,,151.1,0.5
2011-12,2025,November,General,General,,158.7,7.2
2011-12,2025,December,General,General,,170.7,8.0
2011-12,2026,January,General,General,,169.9,5.1
2011-12,2026,February,General,General,,158.8,5.1
2011-12,2026,March,General,General,,173.2,4.1
